Admin2,ISO,Month,Year,CivEvents,CivFatalities,PolEvents,PolFatalities,CivFatalitiesProportion,TotalEvents
Ramallah & Al Bireh,PS-RBH*,January,2025,41,0,72,0,0,72
Ramallah & Al Bireh,PS-RBH*,February,2025,25,0,59,0,0,59
Ramallah & Al Bireh,PS-RBH*,March,2025,23,0,67,0,0,67
Ramallah & Al Bireh,PS-RBH*,April,2025,30,3,59,4,0.75,59
Ramallah & Al Bireh,PS-RBH*,May,2025,31,0,98,0,0,98
Ramallah & Al Bireh,PS-RBH*,June,2025,36,4,69,5,0.8,69
Ramallah & Al Bireh,PS-RBH*,July,2025,39,3,88,4,0.75,88
Ramallah & Al Bireh,PS-RBH*,August,2025,33,0,86,1,0,86
Ramallah & Al Bireh,PS-RBH*,September,2025,48,0,87,1,0,87
Ramallah & Al Bireh,PS-RBH*,October,2025,77,1,139,3,0.33,139
Salfit,PS-SLT,October,2023,37,0,52,0,0,52
Salfit,PS-SLT,November,2023,19,0,27,0,0,27
Salfit,PS-SLT,December,2023,8,0,17,1,0,17
Salfit,PS-SLT,January,2024,7,0,18,0,0,18
Salfit,PS-SLT,February,2024,8,0,15,0,0,15
Salfit,PS-SLT,March,2024,5,0,11,0,0,11
Salfit,PS-SLT,April,2024,10,0,14,0,0,14
Salfit,PS-SLT,May,2024,15,0,22,0,0,22
Salfit,PS-SLT,June,2024,7,0,12,0,0,12
Salfit,PS-SLT,July,2024,10,0,13,0,0,13
Salfit,PS-SLT,August,2024,24,2,35,4,0.5,35
Salfit,PS-SLT,September,2024,9,0,21,0,0,21
Salfit,PS-SLT,October,2024,23,0,41,0,0,41
Salfit,PS-SLT,November,2024,21,1,35,1,1,35
Salfit,PS-SLT,December,2024,9,0,20,0,0,20
Salfit,PS-SLT,January,2025,32,0,41,0,0,41
Salfit,PS-SLT,February,2025,12,0,14,0,0,14
Salfit,PS-SLT,March,2025,15,0,25,0,0,25
Salfit,PS-SLT,April,2025,24,0,36,1,0,36
Salfit,PS-SLT,May,2025,36,1,49,2,0.5,49
Salfit,PS-SLT,June,2025,9,0,16,0,0,16
Salfit,PS-SLT,July,2025,12,0,18,0,0,18
Salfit,PS-SLT,August,2025,17,0,23,0,0,23
Salfit,PS-SLT,September,2025,17,0,24,0,0,24
Salfit,PS-SLT,October,2025,33,0,41,0,0,41
Tubas,PS-TBS,October,2023,11,0,38,4,0,38
Tubas,PS-TBS,November,2023,13,1,36,5,0.2,36
Tubas,PS-TBS,December,2023,2,0,20,12,0,20
Tubas,PS-TBS,January,2024,1,0,10,1,0,10
Tubas,PS-TBS,February,2024,0,0,20,3,0,20
Tubas,PS-TBS,March,2024,6,0,18,0,0,18
Tubas,PS-TBS,April,2024,3,0,20,3,0,20
Tubas,PS-TBS,May,2024,4,0,27,0,0,27
Tubas,PS-TBS,June,2024,3,0,20,1,0,20
Tubas,PS-TBS,July,2024,2,1,15,2,0.5,15
Tubas,PS-TBS,August,2024,10,1,24,15,0.07,24
Tubas,PS-TBS,September,2024,6,1,24,14,0.07,24
Tubas,PS-TBS,October,2024,9,0,40,1,0,40
Tubas,PS-TBS,November,2024,2,0,17,3,0,17
Tubas,PS-TBS,December,2024,7,0,28,6,0,28
