Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Sector Affected,Provider,Launch Type,Explosive Weapon Type,Reported Perpetrator,Reported Perpetrator Name,Affected,Aid Workers Killed,Health Workers Killed,Aid Health Workers Killed,Educators Killed,Students Killed,Food Security,SiND Event ID
2025-06-13,,Iran,IRN,Kermanshah Province,34.5,45.5,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker,,1,,,,,104356
2025-06-13,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker,,1,,,,,104374
2025-06-13,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105717
2025-06-13,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105716
2025-06-13,,Lebanon,LBN,South Governorate,,,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,,105709
2025-06-13,,Iran,IRN,East Azerbaijan Province,38.0,46.2,(2) 25 km Precision ,"Health Care, Aid Operations",National Red Cross Society,Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,104378
2025-06-13,,Iran,IRN,Tehran Province,35.6,51.3,(2) 25 km Precision ,"Education, Health Care","Local Education Provider, Local Health Care Provider",Air-Launched: Plane,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Health Worker,,1,,1,,,104379
2025-06-12,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105703
2025-06-12,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108996
2025-06-12,,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Food Security,None,Unspecified Launch Method,Unspecified Explosive,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,Food Production and Storage,105698
2025-06-12,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105702
2025-06-12,,Lebanon,LBN,South Governorate,,,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,Food Production and Storage,105699
2025-06-12,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108995
2025-06-11,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108914
2025-06-11,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Unspecified Explosive,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108915
2025-06-11,,OPT,PSE,Gaza Strip,,,censored,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,108876
2025-06-11,,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,Food Production and Storage,105684
2025-06-11,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,107501
2025-06-11,,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,,105685
2025-06-11,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105690
2025-06-10,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,107492
2025-06-10,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,107500
2025-06-10,,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Food Security,None,Air-Launched: Drone,Aerial Bomb,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,,105669
2025-06-10,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108994
2025-06-10,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108912
2025-06-10,,OPT,PSE,Judäa und Samaria,,,censored,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Health Worker,,,,,,,106847
2025-06-10,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108913
2025-06-10,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108993
2025-06-10,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105672
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108992
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108991
2025-06-09,,OPT,PSE,Gazastreifen,,,censored,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Health Worker,,3,,,,,106848
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108911
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108910
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,3,,,,,,107474
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,"Protection, Aid Operations, Food Security","IDP/Refugee Service, NGO",Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105659
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,"Aid Operations, Food Security",NGO,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Food Infrastructure,,,,,,,105660
2025-06-09,,OPT,PSE,Gaza Strip,,,censored,Food Security,None,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Other,,,,,,Food Supply,105661
2025-06-08,,OPT,PSE,Gaza Strip,,,censored,Food Security,None,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Other,,,,,,Food Production and Storage,105651
2025-06-08,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108909
2025-06-07,,OPT,PSE,Gaza Strip,,,censored,Food Security,None,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Other,,,,,,Food Production and Storage,105644
2025-06-07,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108990
2025-06-07,,Lebanon,LBN,Nabatieh Governorate,,,censored by HDX,Food Security,None,Directly-Emplaced,Hand Grenade,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,,105641
2025-06-07,,OPT,PSE,Gaza Strip,,,censored,Food Security,None,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Other,,,,,,Food Supply,105647
2025-06-07,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108907
2025-06-07,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108908
2025-06-07,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109014
2025-06-06,,OPT,PSE,Gaza Strip,,,censored,Health Care,Local Health Care Provider,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Health Worker,,1,,,,,107419
2025-06-05,,OPT,PSE,Gazastreifen,,,censored,"Health Care, Aid Operations",INGO,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Health Infrastructure,,,,,,,107421
2025-06-05,,OPT,PSE,None,,,censored,Food Security,None,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Other,,,,,,Food Production and Storage,105634
2025-06-05,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108989
2025-06-04,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108988
2025-06-03,,OPT,PSE,Gaza Strip,,,censored,Food Security,None,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Other,,,,,,Food Supply,105613
2025-06-03,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108906
2025-06-03,,Syria,SYR,Dar'a Governorate,32.7,35.8,(2) 25 km Precision ,Food Security,None,Ground-Launched,Artillery,Foreign Forces: Military,Israeli Defence Forces,Other,,,,,,Agricultural Land,105615
2025-06-02,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108987
2025-06-02,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108904
2025-06-02,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Drone,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108905
2025-06-01,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,109028
2025-06-01,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108985
2025-06-01,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108986
2025-06-01,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Shelling,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108902
2025-06-01,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Air-Launched: Plane,Aerial Bomb,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108983
2025-06-01,,OPT,PSE,Gaza Strip,,,censored,Protection,IDP/Refugee Service,Ground-Launched,Artillery,Host Government: Military,Israeli Defence Forces,Protection Infrastructure,,,,,,,108901
